"File","Type","Constant","OriginalValue","Value1","Value2","Value3","Value4","Value5","Value6","Description"
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_PERCENT","100","80","90","95","105","110","120","База для процентных расчетов."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_REJECT_SCORE","-100000","-50000","-75000","-90000","-110000","-125000","-150000","Sentinel-score для заведомо неприемлемого варианта."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MEMORY_LIMIT_SMALL","64","32","48","63","65","80","96","Лимит коротких списков памяти/планов, чтобы они не росли между боями."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MEMORY_LIMIT_LARGE","512","256","384","511","513","640","768","Лимит длинных списков памяти движения/действий юнитов."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_NO_THROWER_RANK","999","199","499","799","1199","1499","1999","Sentinel-rank для юнита, который не участвует в выборе бросающего взрывчатку."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_WOUNDED_HEALTH_LIMIT","35","18","26","34","36","44","52","Здоровье цели, ниже которого она считается раненой для добивания/фокуса."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_LOW_HEALTH_PERCENT","90","70","80","85","95","100","110","Минимальная доля здоровья для роли scout."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MARKSMAN_AIMED_ACCURACY","100","70","85","95","105","115","130","Aimed accuracy оружия, достаточная для роли marksman."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MARKSMAN_SNAP_ACCURACY","60","42","51","55","65","69","78","Snap accuracy оружия, достаточная для роли marksman без auto-fire."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MARKSMAN_FIRING","45","31","38","40","50","52","58","Минимальный firing юнита для роли marksman."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ASSAULT_TU","70","49","60","65","75","80","91","TU-порог для роли assault."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ASSAULT_REACTIONS","70","49","60","65","75","80","91","Reactions-порог для роли assault."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_REACTION_SPECIALIST_MIN_REACTIONS","55","38","47","50","60","63","72","Минимальные reactions для reaction guard/reaction specialist."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_REACTION_SPECIALIST_MIN_TU","55","38","47","50","60","63","72","Минимальные TU для reaction guard/reaction specialist."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_HEAVY_WEAPON_DANGER","145","102","123","140","150","167","188","Оценка оружия врага, с которой оно считается тяжелой угрозой."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_DURABLE_TARGET_HEALTH","70","49","60","65","75","80","91","Health-порог крепкой цели для взрывов и оценки урона."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_VERY_DURABLE_TARGET_HEALTH","100","70","85","95","105","115","130","Health-порог особо крепкой цели."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_DURABLE_ARMOR","35","24","30","40","46","34","36","Armor-порог крепкой цели."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_STRONG_ARMOR","30","21","26","25","35","34","39","Armor-порог средней защищенности."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_HIGH_EXPOSURE","90","45","68","81","99","112","135","Exposure, при котором позиция считается сильно опасной."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_FIRELINE_BREAK_BONUS","220","110","165","198","242","275","330","Бонус fallback-позиции за полный разрыв enemy fire line."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_NEARBY_SPOTTER_LIMIT","2","1","3","0","4","5","6","Число spotters, после которого ситуация считается срочной."
